win,female_commit,male_commit,all_commit
1,8781,345502,727966
2,8978,384241,793780
3,9387,383675,785780
4,8700,395490,824937
5,11318,467786,953541
6,12068,500334,997361
7,12887,544049,1029577
8,13288,586737,1089170
9,16029,667177,1241778
10,18479,679873,1245233
11,20718,754460,1345783
12,20992,815072,1423753
13,25431,1015830,1708827
14,28154,1081144,1827467
15,33676,1221289,2009155
16,35863,1343674,2191515
17,51849,1774959,2874513
18,55962,1876552,3026596
19,75226,2433355,3939545
20,66374,2097143,3412746
21,94264,2887885,4690255
22,104404,3068602,5035763
23,135099,3615534,5928289
24,163179,4030297,6841016
25,194169,4606683,7756445
26,219742,4708304,8071612
27,238968,4818556,8110406
28,272348,5322664,9225356
29,314938,6155674,10454286
30,361099,6487437,11263284
31,371018,6258093,10876612
32,415641,6830914,12271326
33,430937,7400987,13126450
34,389198,6561932,11287017
35,360140,6001397,10444992
36,375989,6148198,10924800
37,446325,6949884,12899767
38,413207,6304048,11365085
39,438302,6110676,10890728
40,649370,6409285,11927492
41,804387,7230866,13384021
42,957855,7254388,13870724
43,901577,7111864,14650682
44,810716,7088920,15448476
45,838750,6800026,15258734
46,605167,4919037,11505335
