win,female_commit,male_commit,all_commit
1,252,8052,17061
2,169,8867,14875
3,451,8135,15333
4,620,9505,15883
5,575,10059,19526
6,494,9745,17654
7,696,9285,18672
8,764,10786,20654
9,711,14535,25389
10,736,14687,29387
11,805,18225,31693
12,653,19603,35336
13,425,25885,42617
14,581,24819,45063
15,533,26510,49538
16,1111,30227,54951
17,1055,38852,67927
18,712,39276,67773
19,1183,49164,93829
20,743,43085,77954
21,1684,70144,119118
22,1834,73041,129685
23,2403,82976,143367
24,2350,100128,183963
25,3194,116574,208425
26,4560,128914,232702
27,5480,127857,225505
28,6727,150063,279160
29,9567,196454,355941
30,11536,206180,400631
31,9407,195648,358547
32,14005,243867,466046
33,11398,249401,470299
34,11109,215830,398140
35,9529,192240,366841
36,9054,199244,374031
37,11847,240183,443877
38,10796,225058,395324
39,8445,197762,344744
40,10824,204029,361202
41,11663,226192,395177
42,13503,230543,409593
43,13328,230606,402116
44,15569,244006,482334
45,13184,237467,479135
46,10476,181325,392749
