win,female_commit,male_commit,all_commit
1,2169,79294,156722
2,2176,94391,176576
3,1878,88564,170199
4,1748,87107,182611
5,2347,100573,211328
6,2628,106791,226757
7,2940,123279,230648
8,3186,135988,245153
9,3852,142099,263711
10,3588,134569,250306
11,3419,148387,271695
12,3894,153714,278526
13,4887,172712,311613
14,4138,174722,313245
15,3452,179693,318350
16,4256,189306,333418
17,5713,232869,416255
18,5048,233472,415584
19,6585,294716,518049
20,5418,236333,436534
21,7394,314430,561225
22,8259,330569,566142
23,12046,391107,660941
24,14748,432146,761633
25,11213,483486,835537
26,11957,484375,824914
27,12436,493176,839968
28,14485,533837,916349
29,17268,586789,972605
30,20688,605643,1021629
31,19273,614354,993673
32,18349,639499,1067866
33,19709,706828,1152514
34,18763,622561,1029293
35,17716,582052,940159
36,17374,588081,965473
37,22525,637517,1059191
38,22486,605254,1008695
39,20447,604273,998131
40,19124,598887,1004949
41,22479,640908,1077743
42,25244,636347,1093889
43,23172,606216,1058984
44,27091,623573,1115725
45,24716,611215,1083752
46,18020,437349,810050
