win,female_commit,male_commit,all_commit
1,16,1405,2878
2,12,3083,5322
3,28,1526,2586
4,23,1672,2464
5,51,1947,2900
6,78,2590,3451
7,60,2484,3481
8,78,1974,3338
9,131,1887,3432
10,205,2511,4402
11,98,3116,5111
12,93,4124,7289
13,235,4721,12975
14,313,6029,14037
15,139,8450,16971
16,219,12285,20861
17,721,16452,28013
18,578,17738,29317
19,944,40858,57106
20,1367,38485,53196
21,2148,45332,72072
22,3032,51606,86599
23,6737,87799,156111
24,9373,114351,223759
25,11272,147841,274826
26,12960,158256,309722
27,15014,160136,301262
28,16982,171296,347996
29,20590,218035,432130
30,22612,242889,456606
31,24161,207162,418318
32,21817,219962,464799
33,28593,258243,534714
34,22745,233893,446733
35,22051,206396,415364
36,24517,206621,425300
37,29292,234498,478634
38,25960,212829,431099
39,27644,188049,400502
40,29158,192865,409906
41,29094,323545,543274
42,26558,210995,445781
43,29555,193477,460202
44,29468,198157,485004
45,25440,258980,540434
46,18614,149591,360802
