win,female_commit,male_commit,all_commit
1,236,7221,15198
2,440,8410,17355
3,392,12434,23526
4,387,14498,24101
5,480,16254,27875
6,295,18340,29233
7,625,20580,34777
8,451,26185,43101
9,808,34759,57939
10,1398,39371,63418
11,1102,50236,76792
12,1301,63034,91735
13,1851,85055,127494
14,2438,103702,156592
15,3769,126770,184382
16,5062,143529,212361
17,8098,215666,322063
18,9161,242608,374895
19,13582,324092,509062
20,9550,283971,443797
21,16088,419599,654335
22,17351,454106,729121
23,22706,557939,915364
24,28581,651510,1084199
25,34881,776946,1273046
26,41611,783596,1355276
27,46546,832674,1407600
28,57297,929229,1602815
29,63507,1069405,1798605
30,71536,1151510,1981891
31,81310,1167891,2078578
32,94336,1318775,2367101
33,94385,1407281,2509715
34,78305,1203271,2075994
35,77391,1089697,1896822
36,80719,1122344,1996012
37,100374,1283556,2317844
38,89426,1131901,2008172
39,94493,1130568,2069340
40,112550,1177715,2227176
41,135054,1285823,2477377
42,147429,1283489,2550384
43,155799,1272440,2657182
44,154472,1312633,2860932
45,143671,1215950,2609667
46,98906,837086,1855321
