win,female_commit,male_commit,all_commit
1,0,1072,3796
2,1,1631,3139
3,2,3051,4524
4,22,3156,6273
5,32,4332,8341
6,32,5014,8720
7,85,5433,9615
8,95,5108,9007
9,38,5601,10440
10,21,5979,11044
11,40,7839,11404
12,100,8706,13414
13,267,12417,18871
14,458,13673,19703
15,408,17029,24151
16,599,19627,26738
17,724,27394,39435
18,746,26124,38500
19,699,36796,56582
20,598,34657,51780
21,748,50548,72300
22,685,41524,65071
23,1124,54148,83620
24,1449,64000,103139
25,2489,69582,111307
26,3481,73073,121945
27,3055,69539,117411
28,3167,71987,131080
29,4322,76758,135058
30,3794,81417,142549
31,3456,80596,143390
32,4614,80968,149486
33,3644,76470,138388
34,3381,62560,116692
35,2746,59042,107886
36,2547,58471,105136
37,3383,57647,101641
38,3638,51117,91356
39,3449,47568,87177
40,3879,46450,82699
41,5444,46222,83357
42,4409,46485,80854
43,5362,43522,80873
44,3225,40905,71802
45,2541,36903,70667
46,2720,25801,55248
