win,female_commit,male_commit,all_commit
1,349,45688,66624
2,350,56455,80937
3,590,47537,77296
4,683,44387,73686
5,1068,63539,96997
6,1191,68890,109825
7,1219,66270,102771
8,1185,68657,107723
9,1560,92781,141680
10,2769,95507,143521
11,2886,107187,159901
12,2896,108243,162282
13,3051,147297,211219
14,3606,158925,227378
15,4946,176495,256215
16,4411,189333,274335
17,5814,263727,383828
18,7695,257070,379518
19,10329,342286,506831
20,9074,302429,441413
21,13247,409494,612502
22,15705,449205,667196
23,21102,535625,795987
24,22556,537163,831770
25,27725,633067,978303
26,31359,661286,1029211
27,36175,681812,1063233
28,37092,725545,1135180
29,45753,841837,1316944
30,50568,877261,1390810
31,57166,883024,1419537
32,58774,927110,1528345
33,60248,1023275,1705269
34,55838,950714,1522976
35,51722,914771,1516234
36,56594,884755,1472968
37,61924,1031449,1721515
38,60490,935364,1606615
39,62604,914470,1569775
40,62110,902877,1524163
41,71220,983755,1664607
42,72312,961236,1657447
43,67523,958756,1689878
44,73130,992336,1806879
45,73383,963472,1754135
46,55155,726922,1360691
