win,female_commit,male_commit,all_commit
1,243,11709,18443
2,407,18075,25938
3,373,20943,29270
4,344,25107,34837
5,644,31236,43424
6,1017,31565,44703
7,966,35839,49297
8,1186,44794,61597
9,1118,48800,65920
10,1484,52374,69806
11,1496,61052,80327
12,1737,72389,96216
13,1764,88281,114897
14,2326,104534,139361
15,3420,119660,160746
16,3745,135591,181838
17,5846,186857,254345
18,6797,186835,261005
19,9564,237938,346454
20,9045,207591,304508
21,11113,287421,414556
22,12741,300176,436450
23,18167,355397,529021
24,20825,377733,573451
25,24084,411289,611572
26,29138,421107,629351
27,33432,424573,631159
28,31753,435631,657550
29,31991,506882,741471
30,37501,494880,747261
31,35484,453146,685021
32,39068,479983,742705
33,41573,531890,807561
34,50356,476453,739750
35,50635,415582,726088
36,45454,409475,793284
37,52500,441968,717114
38,53725,405105,670272
39,75091,401985,704471
40,243447,590273,1312417
41,340047,779055,1758014
42,459188,919499,2225783
43,409170,785542,2640050
44,281243,639062,2190617
45,322526,643622,2675814
46,210043,465723,1680471
