win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,242,8,229,479,122,3,153,278
2,236,4,232,472,145,1,155,301
3,272,8,253,533,145,3,184,332
4,252,7,275,534,166,3,187,356
5,310,11,342,663,184,6,231,421
6,306,9,344,659,207,6,243,456
7,372,8,404,784,228,5,294,527
8,404,9,421,834,290,7,316,613
9,527,7,528,1062,346,5,405,756
10,528,6,527,1061,385,6,395,786
11,684,11,561,1256,478,7,404,889
12,778,13,647,1438,534,11,446,991
13,951,14,757,1722,692,12,544,1248
14,1147,19,853,2019,839,17,604,1460
15,1310,22,1033,2365,946,16,707,1669
16,1383,28,1171,2582,1039,17,825,1881
17,1904,37,1513,3454,1395,31,1091,2517
18,2085,36,1667,3788,1582,28,1246,2856
19,2471,47,1913,4431,1918,36,1414,3368
20,2512,49,2010,4571,2000,43,1546,3589
21,3306,85,2405,5796,2530,61,1750,4341
22,3587,97,2687,6371,2821,77,2043,4941
23,3850,109,3028,6987,2997,87,2227,5311
24,4274,142,3595,8011,3317,95,2647,6059
25,5146,174,4261,9581,3983,134,3193,7310
26,5491,210,4872,10573,4216,162,3654,8032
27,5707,222,4992,10921,4488,169,3733,8390
28,6634,289,6098,13021,5141,208,4622,9971
29,8293,393,7707,16393,6360,301,5754,12415
30,9011,394,8680,18085,6832,309,6473,13614
31,8655,367,8012,17034,6554,275,5834,12663
32,10028,546,10094,20668,7634,398,7479,15511
33,10407,447,9706,20560,7675,309,6882,14866
34,9457,434,8403,18294,6903,311,6019,13233
35,8760,365,8508,17633,6231,256,5450,11937
36,8920,407,8973,18300,6550,279,6476,13305
37,10073,506,10550,21129,7258,339,7373,14970
38,9190,432,8994,18616,6557,287,6285,13129
39,8521,356,7981,16858,6076,235,5426,11737
40,9029,450,8797,18276,6376,296,5979,12651
41,9507,488,9332,19327,6624,338,6231,13193
42,9508,536,9448,19492,6529,348,6443,13320
43,9137,491,9505,19133,6295,338,6152,12785
44,10291,678,12807,23776,6984,455,8527,15966
45,10285,706,13741,24732,7051,455,9538,17044
46,8531,606,11493,20630,5928,408,8057,14393
