win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,0,0,1,1,0,0,1,1
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,3,3,0,0,3,3
5,0,0,3,3,0,0,1,1
6,6,0,5,11,4,0,4,8
7,10,0,3,13,7,0,3,10
8,7,0,4,11,6,0,4,10
9,13,0,6,19,9,0,3,12
10,13,0,8,21,8,0,6,14
11,9,0,6,15,6,0,5,11
12,14,0,5,19,14,0,5,19
13,13,1,5,19,11,1,4,16
14,15,1,6,22,12,1,6,19
15,18,2,10,30,17,1,8,26
16,32,2,12,46,26,2,12,40
17,37,2,21,60,34,2,17,53
18,42,2,26,70,37,2,23,62
19,61,2,34,97,50,2,26,78
20,66,5,32,103,60,4,25,89
21,92,7,39,138,71,5,30,106
22,159,11,71,241,111,5,48,164
23,180,8,84,272,130,8,59,197
24,183,14,98,295,150,11,70,231
25,261,37,136,434,182,25,93,300
26,312,28,155,495,245,23,99,367
27,414,40,320,774,307,31,116,454
28,482,42,332,856,339,32,175,546
29,630,63,311,1004,466,47,196,709
30,720,75,386,1181,553,54,255,862
31,980,126,609,1715,734,80,386,1200
32,1517,202,1041,2760,1080,123,710,1913
33,1798,292,1271,3361,1325,178,828,2331
34,1552,199,1070,2821,1154,131,695,1980
35,1499,154,931,2584,1066,103,632,1801
36,1690,173,1339,3202,1202,129,837,2168
37,2353,280,1981,4614,1490,176,1091,2757
38,2397,266,2100,4763,1416,168,1084,2668
39,2457,288,2293,5038,1417,166,1054,2637
40,2512,304,2585,5401,1560,174,1257,2991
41,2552,324,2626,5502,1589,222,1468,3279
42,2830,452,3151,6433,1744,272,1605,3621
43,3019,503,4000,7522,1788,277,1900,3965
44,3412,616,5490,9518,2182,341,2924,5447
45,3477,651,5978,10106,2218,399,3355,5972
46,3143,567,5672,9382,2012,361,3115,5488
