win,female_commit,male_commit,all_commit
1,4,3023,3463
2,7,3151,3394
3,54,3017,3819
4,88,4228,5233
5,92,4415,5826
6,175,5006,6475
7,70,3955,6038
8,97,5944,8137
9,98,8218,11418
10,323,7942,11768
11,294,11997,16024
12,567,16014,22002
13,509,20682,27513
14,712,24975,34414
15,948,28600,38718
16,1001,33275,44153
17,1232,46486,62028
18,1216,47225,62541
19,1364,66849,86007
20,1027,65482,84150
21,1601,106367,136154
22,2273,113357,148308
23,3502,143389,189619
24,3307,166318,220030
25,4800,197324,265462
26,5617,215515,283670
27,6595,223092,300008
28,7056,237820,322267
29,7483,275931,373344
30,8492,272379,370620
31,9378,260288,360241
32,7887,256026,360302
33,9185,272971,395029
34,8853,230362,326097
35,9376,210802,298734
36,7750,211747,297547
37,9316,214513,306250
38,10176,191339,277962
39,8183,173958,255918
40,6404,157946,230811
41,9110,161665,236026
42,8848,142219,212049
43,7578,128875,189038
44,6962,121992,182352
45,7213,115383,174245
46,4455,76100,115573
47,1416,21902,33607
48,1950,33385,53152
49,5387,86835,146772
50,4987,86954,152307
51,4640,76775,132060
52,4020,70528,117885
53,3049,47137,77419
54,0,0,0
55,0,0,0
56,0,0,0
