win,female_commit,male_commit,all_commit
1,17,915,1264
2,14,1329,1755
3,48,1366,1771
4,11,1641,2104
5,45,2263,2867
6,161,2572,3241
7,313,2994,3988
8,188,2726,3777
9,202,4500,5338
10,199,3710,5855
11,145,3913,5258
12,77,4630,5954
13,135,5966,7317
14,134,6303,8348
15,177,7257,9147
16,160,6301,7991
17,378,7215,8897
18,516,7074,9118
19,400,9424,11850
20,448,7733,9487
21,734,11372,14284
22,1153,13735,17541
23,3236,15510,23129
24,1788,14459,20380
25,1927,14905,20977
26,1495,15592,21003
27,2065,22495,29203
28,2092,17729,24118
29,2613,23768,30881
30,1975,16451,23156
31,1704,13788,20224
32,682,13812,19293
33,592,15585,22492
34,1216,14577,20857
35,768,11413,15660
36,516,14067,19723
37,597,13400,20779
38,980,12529,17822
39,478,11419,19992
40,695,12331,17388
41,380,11701,16675
42,695,12921,19004
43,488,9210,14061
44,961,11230,16308
45,806,8893,14956
46,397,6559,9863
47,44,1421,1982
48,31,2324,3000
49,241,5770,8975
50,247,5978,8930
51,216,5816,7881
52,106,6275,8054
53,104,5818,7234
54,0,0,0
55,0,0,0
56,0,0,0
