win,female_commit,male_commit,all_commit
1,0,244,475
2,0,324,382
3,0,523,641
4,0,197,455
5,0,164,224
6,0,372,490
7,0,448,737
8,0,717,843
9,0,470,591
10,0,595,781
11,0,587,898
12,0,552,938
13,1,577,1067
14,1,847,1234
15,1,821,1280
16,13,1009,1529
17,21,1747,2239
18,34,2391,3226
19,73,3224,4057
20,47,2193,2782
21,192,3450,4305
22,101,3911,5146
23,91,6837,9191
24,85,8072,10346
25,117,11167,13595
26,288,11124,13657
27,480,14719,20157
28,1012,16361,22074
29,1134,22928,29482
30,1082,26007,35110
31,961,21978,30118
32,769,23179,30715
33,1359,25786,36794
34,1916,26753,36555
35,967,31178,41044
36,1264,31597,42038
37,1589,36615,47385
38,2429,40416,53085
39,1745,45198,58412
40,1973,41292,56850
41,2663,44697,64016
42,2843,45757,62805
43,2930,44750,64318
44,2250,46134,65886
45,2820,47066,66413
46,2033,30479,47145
47,393,8522,12162
48,942,11859,19138
49,2167,39440,64073
50,2594,40382,68507
51,2299,32671,59473
52,2179,27459,49546
53,1477,20925,36758
54,0,0,0
55,0,0,0
56,0,0,0
