win,female_commit,male_commit,all_commit
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,9
5,0,0,87
6,0,0,104
7,0,0,127
8,0,89,206
9,0,78,171
10,0,237,333
11,0,148,216
12,0,43,113
13,0,11,364
14,0,42,699
15,0,8,578
16,0,34,560
17,0,262,857
18,1,192,960
19,0,271,1341
20,0,288,602
21,0,561,664
22,0,601,866
23,3,1681,2443
24,121,1833,2461
25,65,2764,3385
26,228,7907,9271
27,132,13755,15801
28,527,18326,22006
29,988,28642,35691
30,1283,29778,39379
31,1282,28027,36542
32,737,28456,36827
33,823,39430,52590
34,896,36767,49255
35,1340,41371,56112
36,1452,50603,66705
37,1943,64441,85549
38,2546,71720,94691
39,2670,70067,95595
40,2458,73909,100647
41,2272,91903,121308
42,3043,100032,132810
43,4022,109953,149476
44,3866,131940,178453
45,5319,136516,188732
46,3995,96023,135047
47,704,21261,31053
48,1654,51559,75272
49,6756,152765,232371
50,4869,144305,217086
51,4827,112161,178301
52,3954,93154,144804
53,2599,63454,100853
54,0,0,1
55,0,0,1
56,0,0,0
