win,female_commit,male_commit,all_commit
1,12,142,168
2,0,344,346
3,7,774,1018
4,0,719,773
5,0,849,899
6,5,1044,1141
7,0,2085,2381
8,9,4226,4920
9,101,3086,3648
10,179,2299,3021
11,277,4278,5620
12,208,3518,5090
13,613,5891,8077
14,132,7213,9141
15,401,7808,10294
16,315,10478,14194
17,892,14908,19981
18,577,14292,19187
19,1293,27852,37481
20,1039,25612,35402
21,1505,36444,52308
22,1407,52117,72235
23,2088,74905,106712
24,2111,92132,127979
25,2746,120766,174459
26,3208,149573,205230
27,4496,183645,250841
28,5842,208983,288666
29,8327,275312,377640
30,8124,281019,384563
31,7693,282273,384140
32,9942,307724,431750
33,11109,353024,491911
34,10112,298606,419984
35,10109,279916,401155
36,9496,297960,418067
37,11317,346136,482117
38,12634,345529,485780
39,16983,353259,510243
40,13288,350481,507983
41,16706,392075,564775
42,20350,400129,575520
43,20077,424948,615764
44,19494,398135,600115
45,16974,375776,568079
46,14072,254941,392986
47,2926,49372,76133
48,5778,87855,139721
49,17349,276399,450765
50,16682,281598,452831
51,13607,244421,407357
52,11247,201001,330458
53,7399,136017,228571
54,0,0,4
55,0,0,0
56,0,0,3
