win,female_commit,male_commit,all_commit
1,25,1306,1735
2,299,995,1478
3,757,1061,2121
4,14,1664,1905
5,2,2401,2658
6,14,1621,1872
7,17,2315,2544
8,5,1456,1809
9,0,2620,2933
10,3,2472,2630
11,117,3603,4059
12,407,3772,4654
13,4,5017,5573
14,19,4099,4733
15,11,5780,6654
16,4,6792,7475
17,44,9598,10665
18,77,8938,9861
19,108,12030,13891
20,283,11119,12810
21,409,13807,16151
22,242,13686,15724
23,306,16391,19230
24,561,16252,19203
25,469,21192,25670
26,397,24028,29454
27,247,24623,28753
28,391,26390,31766
29,845,30790,35742
30,626,32504,38180
31,552,31594,38131
32,601,28018,32549
33,751,27292,32915
34,748,28333,34204
35,674,25939,31915
36,582,25976,31602
37,802,28378,35716
38,755,27627,33497
39,435,30732,36950
40,1005,31049,39442
41,1848,34692,43414
42,1105,32665,41085
43,852,27704,34841
44,1164,26871,34164
45,919,25139,31898
46,1189,25252,31668
47,338,5636,7324
48,414,8964,11550
49,1217,31204,39773
50,1130,35175,43890
51,1016,25451,33354
52,479,17830,25398
53,194,13502,18594
54,0,0,0
55,0,0,0
56,0,0,0
