win,female_commit,male_commit,all_commit
1,110,7150,8122
2,195,8741,9827
3,168,9192,10575
4,238,8416,9992
5,382,10117,12178
6,282,10260,12062
7,126,9900,11898
8,169,11987,14474
9,214,16225,19962
10,324,16825,20886
11,367,23405,29217
12,735,29253,37221
13,689,40981,50808
14,1242,54088,71935
15,1150,64478,83774
16,1410,74857,95468
17,1905,110109,139936
18,2414,118844,152712
19,3276,158975,206631
20,2552,143912,187646
21,4663,224734,294952
22,5092,251075,331418
23,9030,330725,439909
24,9501,388001,516388
25,11665,469127,624944
26,14288,509317,685041
27,17871,580301,774999
28,20713,624862,840195
29,25240,762075,1031177
30,27475,783979,1061511
31,30285,814426,1108549
32,28803,876735,1192459
33,35888,1068868,1479089
34,42601,1066502,1475078
35,44922,1041822,1457389
36,49837,1133753,1605035
37,59544,1267580,1792626
38,67320,1307250,1889405
39,69738,1374170,2019315
40,70452,1430983,2094540
41,78566,1571685,2290645
42,83917,1561754,2308658
43,86309,1573804,2359491
44,92176,1608831,2430683
45,88716,1563209,2376552
46,66233,1118699,1745441
47,11709,232435,363513
48,24395,426780,713722
49,81141,1289744,2175965
50,75425,1192998,2044023
51,66710,973284,1702757
52,54655,819642,1441537
53,36105,554423,962037
54,0,0,3
55,0,0,0
56,0,0,0
