win,female_commit,male_commit,all_commit
1,0,0,0
2,0,2,2
3,0,0,0
4,0,1,1
5,0,5,8
6,0,10,15
7,0,1,35
8,0,16,43
9,0,55,96
10,0,25,27
11,0,26,115
12,0,135,187
13,0,80,133
14,0,97,148
15,0,175,262
16,1,293,377
17,0,308,453
18,18,502,706
19,7,436,643
20,5,395,644
21,5,904,1120
22,6,783,1109
23,4,1196,1573
24,51,1401,1860
25,13,1891,2519
26,9,2053,2525
27,25,1747,2731
28,8,2431,3367
29,41,3545,4508
30,62,5015,6226
31,88,4903,6380
32,109,5031,6942
33,91,6259,9264
34,135,5712,9105
35,31,6056,9179
36,380,6507,10592
37,388,6440,11146
38,458,5048,9387
39,163,8146,12814
40,167,8949,13394
41,407,10521,16704
42,445,10244,16558
43,196,9882,16558
44,286,9466,16371
45,471,11095,20025
46,394,6859,12868
47,330,2409,4186
48,96,3922,6793
49,336,7158,16181
50,199,8643,17309
51,199,6336,12402
52,192,7545,13587
53,73,5002,8362
54,0,0,0
55,0,0,0
56,0,0,0
