win,female_commit,male_commit,all_commit
1,40,5438,7782
2,68,6599,8767
3,24,7464,10163
4,40,8105,10782
5,45,12220,15716
6,101,12131,15925
7,128,12324,15584
8,163,13381,17188
9,197,16002,20816
10,320,19357,24024
11,592,29025,35280
12,547,24809,32933
13,517,30849,39070
14,622,38049,46503
15,821,47561,59381
16,835,49956,62544
17,1060,68331,86244
18,1159,72309,91317
19,1803,92571,119571
20,1580,81580,102361
21,2715,127187,162930
22,2972,133885,172934
23,4263,164723,215271
24,4809,181686,238692
25,6921,221912,291459
26,6627,234611,305987
27,8451,251781,332369
28,8872,261500,351444
29,11130,316660,423707
30,13011,326648,444253
31,14471,335317,452919
32,12552,341502,464706
33,12730,381633,520944
34,14081,389560,536468
35,16800,406298,561182
36,18206,424490,587338
37,23909,509625,709158
38,23283,531272,755318
39,42214,554032,824383
40,26592,577622,825767
41,33281,636789,931680
42,34619,670992,991570
43,37054,713624,1046132
44,37832,748324,1119512
45,38581,737546,1111169
46,29617,538203,832217
47,6739,133318,207904
48,12794,256342,418140
49,37059,697053,1188350
50,38242,674436,1174797
51,33943,570031,1013303
52,27287,470565,838325
53,18272,315657,569667
54,0,2,3
55,0,0,5
56,0,1,1
