win,female_commit,male_commit,all_commit
1,329,5378,8625
2,467,9539,13062
3,438,11192,15332
4,256,14892,19735
5,627,21006,27035
6,783,21105,26379
7,591,24558,30405
8,909,31615,40040
9,886,35017,44327
10,1085,37864,47418
11,969,42268,52458
12,952,49367,60988
13,974,61523,74253
14,1277,70134,86694
15,1920,77598,95823
16,1887,84569,105385
17,2796,115048,144256
18,2725,111986,141980
19,3050,142781,182336
20,2497,111373,139137
21,3439,173262,216211
22,4735,164505,207041
23,5279,193888,244681
24,6114,200443,254170
25,6150,215137,271020
26,6615,206132,259603
27,8064,199453,254830
28,7445,203607,260222
29,9064,230513,299406
30,8000,212841,278645
31,9393,191458,254821
32,8819,195141,257538
33,8716,214429,279644
34,8455,189146,247981
35,8691,178712,235458
36,8781,177757,242087
37,8950,191294,258812
38,9829,177680,236498
39,9359,171539,234934
40,9566,175639,244937
41,11851,173259,246693
42,9918,162402,230129
43,8696,145759,218896
44,7805,159687,222239
45,7432,146445,204684
46,5387,103282,146409
47,1890,28310,37715
48,2426,48418,67898
49,8949,131839,215074
50,8837,123130,205637
51,6566,99152,167749
52,5721,88793,145841
53,4130,63711,106561
54,0,1,1
55,0,0,0
56,0,0,0
