win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,1309,0,39,0,671,2019,1176,0,32,0,579,1787
2,1848,0,40,0,735,2623,1663,0,32,0,617,2312
3,2237,0,53,0,871,3161,1993,0,45,0,722,2760
4,2602,0,50,0,935,3587,2325,0,46,0,799,3170
5,3264,0,73,0,1125,4462,2894,0,65,0,941,3900
6,3537,0,80,0,1182,4799,3081,0,71,0,966,4118
7,3939,0,89,0,1285,5313,3472,0,80,0,1047,4599
8,4816,0,95,0,1499,6410,4125,0,85,0,1205,5415
9,5897,0,112,0,1752,7761,5066,0,96,0,1406,6568
10,6541,0,155,0,1872,8568,5599,0,137,0,1522,7258
11,8107,0,195,0,2280,10582,7020,0,169,0,1893,9082
12,9753,0,216,0,2686,12655,8395,0,186,0,2217,10798
13,12311,0,270,0,3138,15719,10537,0,234,0,2600,13371
14,15188,0,321,0,3813,19322,12976,0,274,0,3122,16372
15,17844,0,401,0,4454,22699,15181,0,329,0,3641,19151
16,20464,0,449,0,5087,26000,17177,0,362,0,4014,21553
17,27075,0,563,0,7056,34694,22450,0,464,0,5544,28458
18,29406,0,661,0,7665,37732,23973,0,523,0,5889,30385
19,34929,0,857,0,9901,45687,28193,0,680,0,7506,36379
20,36568,0,851,0,10365,47784,29847,0,696,0,8059,38602
21,47195,0,1168,0,14119,62482,38106,0,929,0,10709,49744
22,51517,0,1319,0,15865,68701,41066,0,1033,0,11811,53910
23,58783,0,1604,0,19211,79598,46492,0,1300,0,14186,61978
24,64011,0,1776,0,21473,87260,50354,0,1403,0,15582,67339
25,74125,0,2149,0,24790,101064,58049,0,1699,0,17788,77536
26,78745,0,2413,0,26845,108003,60954,0,1881,0,19104,81939
27,84447,0,2738,0,30222,117407,64785,0,2143,0,21096,88024
28,90500,0,2942,0,33001,126443,68782,0,2260,0,22697,93739
29,103799,0,3413,0,38836,146048,78643,0,2701,0,26547,107891
30,108830,0,3821,0,41655,154306,82208,0,2983,0,28326,113517
31,111221,0,4103,0,43303,158627,83728,0,3202,0,29395,116325
32,117966,0,4336,0,47673,169975,88406,0,3351,0,31846,123603
33,129231,0,4866,0,52313,186410,97089,0,3757,0,35337,136183
34,129819,0,5130,0,53820,188769,97219,0,3988,0,35982,137189
35,130713,0,5350,0,55655,191718,97501,0,4175,0,36992,138668
36,135715,0,5654,0,60419,201788,101115,0,4409,0,40153,145677
37,146357,0,6131,0,64837,217325,110132,0,4767,0,43652,158551
38,147191,0,6572,0,69074,222837,110139,0,5147,0,45961,161247
39,150865,0,7022,0,73321,231208,112354,0,5478,0,48624,166456
40,156176,0,7340,0,77060,240576,116616,0,5785,0,51628,174029
41,162510,0,7633,0,81058,251201,120519,0,5869,0,53788,180176
42,161787,0,7992,0,83739,253518,119770,0,6244,0,55473,181487
43,160435,0,8185,0,87407,256027,118816,0,6352,0,58126,183294
44,164689,0,8408,0,92051,265148,121602,0,6568,0,61364,189534
45,162174,0,8362,0,91846,262382,118880,0,6453,0,60250,185583
46,137430,0,7097,0,80670,225197,99658,0,5428,0,52937,158023
47,76587,0,3685,0,44691,124963,55546,0,2859,0,29522,87927
48,103134,0,5035,0,71754,179923,73160,0,3907,0,45896,122963
49,130961,0,6382,0,105277,242620,99239,0,5165,0,76246,180650
50,125965,0,6091,0,104751,236807,98108,0,5036,0,79768,182912
51,112895,0,5634,0,99624,218153,88551,0,4731,0,77796,171078
52,101157,0,5047,0,89093,195297,79810,0,4241,0,70174,154225
53,78778,0,3940,0,66719,149437,61794,0,3329,0,52583,117706
54,2,0,0,0,4,6,1,0,0,0,3,4
55,0,0,0,0,4,4,0,0,0,0,2,2
56,1,0,0,0,3,4,1,0,0,0,1,2
