win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,11,0,0,0,12,23,8,0,0,0,12,20
2,13,0,0,0,6,19,9,0,0,0,5,14
3,12,0,0,0,7,19,11,0,0,0,7,18
4,15,0,0,0,13,28,10,0,0,0,9,19
5,16,0,0,0,9,25,11,0,0,0,7,18
6,22,0,0,0,10,32,14,0,0,0,6,20
7,21,0,0,0,12,33,13,0,0,0,7,20
8,25,0,0,0,13,38,13,0,0,0,7,20
9,27,0,0,0,11,38,19,0,0,0,6,25
10,38,0,0,0,16,54,23,0,0,0,10,33
11,38,0,0,0,15,53,23,0,0,0,10,33
12,46,0,0,0,21,67,31,0,0,0,8,39
13,38,0,1,0,14,53,23,0,1,0,8,32
14,42,0,1,0,17,60,26,0,1,0,7,34
15,55,0,1,0,21,77,33,0,1,0,6,40
16,68,0,2,0,29,99,37,0,1,0,16,54
17,91,0,3,0,25,119,49,0,2,0,16,67
18,106,0,6,0,27,139,51,0,4,0,13,68
19,137,0,6,0,34,177,72,0,2,0,16,90
20,120,0,5,0,34,159,59,0,2,0,18,79
21,184,0,9,0,55,248,97,0,5,0,24,126
22,211,0,8,0,74,293,109,0,4,0,34,147
23,252,0,11,0,88,351,119,0,2,0,35,156
24,284,0,13,0,99,396,144,0,5,0,35,184
25,379,0,18,0,116,513,202,0,9,0,58,269
26,429,0,22,0,141,592,231,0,9,0,72,312
27,497,0,31,0,190,718,269,0,17,0,104,390
28,533,0,35,0,183,751,272,0,20,0,89,381
29,699,0,40,0,227,966,374,0,18,0,107,499
30,788,0,47,0,253,1088,415,0,21,0,121,557
31,810,0,48,0,260,1118,424,0,23,0,124,571
32,815,0,44,0,281,1140,424,0,17,0,139,580
33,964,0,49,0,310,1323,508,0,23,0,159,690
34,1041,0,65,0,339,1445,535,0,32,0,166,733
35,1099,0,67,0,377,1543,542,0,32,0,177,751
36,1159,0,75,0,424,1658,575,0,34,0,193,802
37,1292,0,91,0,421,1804,610,0,49,0,197,856
38,1407,0,115,0,491,2013,687,0,61,0,216,964
39,1426,0,123,0,509,2058,717,0,52,0,229,998
40,1447,0,121,0,528,2096,697,0,58,0,232,987
41,1586,0,136,0,594,2316,793,0,65,0,253,1111
42,1658,0,165,0,600,2423,810,0,71,0,244,1125
43,1611,0,165,0,650,2426,774,0,84,0,284,1142
44,1596,0,161,0,652,2409,752,0,68,0,271,1091
45,1640,0,177,0,728,2545,790,0,78,0,309,1177
46,1426,0,145,0,697,2268,682,0,69,0,285,1036
47,827,0,72,0,355,1254,440,0,48,0,180,668
48,1163,0,108,0,663,1934,573,0,56,0,307,936
49,1475,0,145,0,1163,2783,741,0,82,0,709,1532
50,1461,0,136,0,1428,3025,737,0,71,0,959,1767
51,1241,0,110,0,1220,2571,657,0,62,0,829,1548
52,1146,0,108,0,942,2196,639,0,56,0,606,1301
53,926,0,103,0,772,1801,480,0,54,0,463,997
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
