win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,1,0,0,0,0,1,1
5,0,0,0,0,4,4,0,0,0,0,4,4
6,0,0,0,0,4,4,0,0,0,0,4,4
7,0,0,0,0,4,4,0,0,0,0,4,4
8,2,0,0,0,4,6,0,0,0,0,3,3
9,1,0,0,0,5,6,0,0,0,0,3,3
10,2,0,0,0,4,6,0,0,0,0,3,3
11,1,0,0,0,6,7,0,0,0,0,5,5
12,2,0,0,0,8,10,0,0,0,0,7,7
13,4,0,0,0,13,17,3,0,0,0,13,16
14,2,0,0,0,19,21,1,0,0,0,19,20
15,3,0,0,0,14,17,3,0,0,0,14,17
16,2,0,0,0,13,15,2,0,0,0,13,15
17,11,0,0,0,18,29,10,0,0,0,18,28
18,12,0,1,0,22,35,12,0,1,0,22,35
19,21,0,0,0,33,54,19,0,0,0,33,52
20,34,0,0,0,18,52,31,0,0,0,18,49
21,39,0,0,0,9,48,34,0,0,0,8,42
22,45,0,0,0,10,55,43,0,0,0,9,52
23,77,0,2,0,21,100,69,0,2,0,19,90
24,97,0,3,0,25,125,89,0,3,0,21,113
25,120,0,6,0,28,154,111,0,5,0,22,138
26,224,0,10,0,60,294,197,0,9,0,53,259
27,374,0,12,0,100,486,321,0,11,0,84,416
28,601,0,21,0,167,789,488,0,19,0,127,634
29,779,0,19,0,240,1038,612,0,13,0,169,794
30,907,0,31,0,284,1222,666,0,22,0,176,864
31,947,0,32,0,267,1246,688,0,21,0,173,882
32,998,0,35,0,286,1319,718,0,25,0,171,914
33,1227,0,41,0,375,1643,844,0,25,0,235,1104
34,1321,0,32,0,427,1780,903,0,22,0,263,1188
35,1507,0,41,0,421,1969,1051,0,26,0,251,1328
36,1649,0,47,0,501,2197,1152,0,30,0,310,1492
37,2049,0,51,0,608,2708,1466,0,34,0,385,1885
38,2196,0,73,0,672,2941,1548,0,56,0,403,2007
39,2302,0,95,0,743,3140,1602,0,70,0,480,2152
40,2572,0,95,0,807,3474,1814,0,63,0,540,2417
41,2932,0,103,0,937,3972,2078,0,68,0,602,2748
42,3132,0,126,0,1044,4302,2268,0,94,0,682,3044
43,3397,0,138,0,1195,4730,2439,0,105,0,819,3363
44,3898,0,137,0,1401,5436,2781,0,107,0,947,3835
45,4151,0,180,0,1618,5949,2985,0,129,0,1043,4157
46,3644,0,145,0,1453,5242,2572,0,104,0,946,3622
47,2462,0,89,0,1026,3577,1826,0,70,0,717,2613
48,3722,0,151,0,1749,5622,2635,0,115,0,1113,3863
49,4597,0,184,0,2518,7299,3388,0,138,0,1710,5236
50,4790,0,175,0,2706,7671,3715,0,142,0,1984,5841
51,4209,0,186,0,2562,6957,3296,0,149,0,1926,5371
52,3946,0,145,0,2410,6501,3087,0,114,0,1793,4994
53,3290,0,128,0,2004,5422,2480,0,91,0,1488,4059
54,0,0,0,0,1,1,0,0,0,0,0,0
55,0,0,0,0,1,1,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
