win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,12,0,1,0,2,15,12,0,1,0,2,15
2,10,0,0,0,2,12,10,0,0,0,2,12
3,18,0,1,0,9,28,18,0,1,0,8,27
4,22,0,0,0,7,29,20,0,0,0,7,27
5,26,0,0,0,11,37,24,0,0,0,10,34
6,43,0,1,0,11,55,43,0,1,0,10,54
7,40,0,0,0,11,51,39,0,0,0,11,50
8,131,0,2,0,39,172,122,0,1,0,33,156
9,128,0,5,0,34,167,117,0,3,0,33,153
10,108,0,4,0,44,156,98,0,4,0,37,139
11,195,0,5,0,55,255,183,0,4,0,49,236
12,193,0,5,0,64,262,170,0,5,0,60,235
13,272,0,6,0,78,356,239,0,5,0,68,312
14,391,0,11,0,108,510,354,0,11,0,90,455
15,432,0,12,0,123,567,383,0,11,0,100,494
16,543,0,14,0,143,700,451,0,11,0,113,575
17,733,0,21,0,204,958,580,0,17,0,154,751
18,884,0,25,0,294,1203,670,0,20,0,200,890
19,1332,0,32,0,473,1837,893,0,27,0,300,1220
20,1377,0,32,0,487,1896,988,0,28,0,332,1348
21,1923,0,45,0,710,2678,1316,0,30,0,470,1816
22,2533,0,67,0,951,3551,1664,0,46,0,562,2272
23,3530,0,93,0,1435,5058,2308,0,69,0,807,3184
24,4029,0,99,0,1577,5705,2628,0,70,0,921,3619
25,5148,0,142,0,2155,7445,3358,0,89,0,1187,4634
26,5932,0,162,0,2452,8546,3992,0,112,0,1434,5538
27,7226,0,219,0,3119,10564,4722,0,141,0,1702,6565
28,8176,0,257,0,3531,11964,5354,0,172,0,1936,7462
29,9821,0,312,0,4262,14395,6580,0,213,0,2392,9185
30,10328,0,321,0,4405,15054,7167,0,227,0,2561,9955
31,10792,0,365,0,4681,15838,7607,0,272,0,2939,10818
32,12219,0,428,0,5508,18155,8373,0,311,0,3247,11931
33,13036,0,460,0,5701,19197,9421,0,331,0,3627,13379
34,12074,0,442,0,4943,17459,9325,0,361,0,3505,13191
35,12018,0,442,0,5013,17473,9386,0,379,0,3759,13524
36,12451,0,463,0,5278,18192,9905,0,390,0,3972,14267
37,13763,0,495,0,5624,19882,11130,0,419,0,4271,15820
38,13844,0,558,0,5840,20242,11387,0,495,0,4565,16447
39,14128,0,644,0,6366,21138,11646,0,563,0,5023,17232
40,14988,0,640,0,6774,22402,12456,0,573,0,5419,18448
41,16140,0,670,0,7401,24211,13429,0,594,0,5991,20014
42,16254,0,700,0,7626,24580,13669,0,634,0,6224,20527
43,16510,0,733,0,8028,25271,13964,0,652,0,6647,21263
44,16793,0,751,0,8735,26279,14223,0,685,0,7330,22238
45,16437,0,710,0,8523,25670,14035,0,644,0,7122,21801
46,13493,0,587,0,7123,21203,11809,0,540,0,6146,18495
47,7139,0,322,0,3626,11087,6580,0,313,0,3331,10224
48,9564,0,449,0,5387,15400,8804,0,434,0,4977,14215
49,12844,0,597,0,8980,22421,11881,0,572,0,8354,20807
50,12824,0,586,0,9348,22758,11882,0,564,0,8821,21267
51,11528,0,525,0,9184,21237,10695,0,502,0,8702,19899
52,10333,0,480,0,8119,18932,9616,0,461,0,7711,17788
53,8107,0,358,0,6267,14732,7490,0,342,0,5917,13749
54,0,0,0,0,1,1,0,0,0,0,1,1
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,1,1,0,0,0,0,0,0
