win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,42,0,1,0,15,58,33,0,1,0,14,48
2,43,0,1,0,12,56,32,0,1,0,12,45
3,51,0,1,0,15,67,34,0,1,0,15,50
4,69,0,1,0,19,89,50,0,1,0,17,68
5,90,0,2,0,21,113,69,0,2,0,19,90
6,74,0,2,0,21,97,56,0,2,0,18,76
7,78,0,2,0,19,99,63,0,1,0,14,78
8,97,0,2,0,23,122,73,0,2,0,11,86
9,121,0,0,0,21,142,92,0,0,0,14,106
10,139,0,3,0,25,167,105,0,2,0,17,124
11,153,0,2,0,26,181,106,0,2,0,16,124
12,183,0,7,0,34,224,126,0,4,0,24,154
13,211,0,1,0,33,245,152,0,1,0,18,171
14,239,0,5,0,41,285,167,0,2,0,22,191
15,265,0,4,0,46,315,184,0,3,0,26,213
16,275,0,3,0,55,333,205,0,3,0,26,234
17,395,0,7,0,73,475,281,0,3,0,44,328
18,395,0,10,0,82,487,269,0,5,0,49,323
19,478,0,9,0,95,582,322,0,5,0,58,385
20,468,0,12,0,97,577,328,0,9,0,66,403
21,555,0,13,0,109,677,402,0,10,0,66,478
22,547,0,10,0,120,677,380,0,9,0,78,467
23,562,0,14,0,124,700,401,0,11,0,67,479
24,663,0,19,0,132,814,460,0,11,0,68,539
25,750,0,20,0,171,941,529,0,12,0,106,647
26,920,0,22,0,185,1127,673,0,15,0,114,802
27,899,0,23,0,206,1128,659,0,16,0,132,807
28,903,0,27,0,208,1138,660,0,18,0,115,793
29,1008,0,21,0,233,1262,715,0,15,0,142,872
30,1059,0,31,0,219,1309,766,0,20,0,138,924
31,1069,0,24,0,223,1316,766,0,18,0,149,933
32,1019,0,26,0,247,1292,734,0,18,0,150,902
33,1037,0,24,0,244,1305,763,0,18,0,148,929
34,1041,0,27,0,224,1292,764,0,19,0,145,928
35,1023,0,29,0,220,1272,738,0,20,0,128,886
36,1026,0,29,0,241,1296,723,0,19,0,149,891
37,1072,0,28,0,263,1363,756,0,23,0,161,940
38,1025,0,30,0,242,1297,722,0,19,0,165,906
39,1112,0,25,0,282,1419,798,0,15,0,195,1008
40,1130,0,40,0,302,1472,855,0,33,0,187,1075
41,1170,0,45,0,305,1520,856,0,34,0,207,1097
42,1216,0,38,0,296,1550,902,0,30,0,208,1140
43,1111,0,38,0,292,1441,820,0,25,0,193,1038
44,1127,0,36,0,281,1444,823,0,22,0,190,1035
45,1107,0,44,0,266,1417,794,0,31,0,177,1002
46,959,0,36,0,236,1231,703,0,29,0,167,899
47,620,0,20,0,151,791,492,0,14,0,118,624
48,731,0,25,0,212,968,554,0,16,0,148,718
49,975,0,35,0,314,1324,730,0,25,0,225,980
50,967,0,30,0,357,1354,726,0,22,0,259,1007
51,800,0,30,0,327,1157,593,0,23,0,242,858
52,767,0,20,0,323,1110,570,0,13,0,251,834
53,600,0,20,0,221,841,435,0,16,0,172,623
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
