win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,249,0,8,0,177,434,202,0,5,0,125,332
2,294,0,9,0,200,503,246,0,6,0,145,397
3,311,0,12,0,230,553,247,0,8,0,153,408
4,374,0,9,0,227,610,295,0,5,0,169,469
5,466,0,11,0,252,729,363,0,9,0,171,543
6,506,0,16,0,278,800,407,0,13,0,192,612
7,544,0,14,0,288,846,440,0,11,0,201,652
8,707,0,21,0,339,1067,560,0,18,0,237,815
9,917,0,23,0,386,1326,730,0,17,0,266,1013
10,960,0,25,0,418,1403,781,0,18,0,295,1094
11,1194,0,30,0,546,1770,974,0,23,0,416,1413
12,1540,0,43,0,605,2188,1252,0,36,0,464,1752
13,1966,0,47,0,671,2684,1566,0,40,0,506,2112
14,2455,0,53,0,826,3334,1918,0,41,0,635,2594
15,2932,0,66,0,962,3960,2293,0,51,0,730,3074
16,3466,0,81,0,1007,4554,2703,0,62,0,708,3473
17,4467,0,89,0,1285,5841,3511,0,70,0,939,4520
18,4822,0,104,0,1421,6347,3628,0,78,0,1038,4744
19,5643,0,147,0,1741,7531,4308,0,104,0,1279,5691
20,6265,0,156,0,1932,8353,4843,0,116,0,1441,6400
21,8125,0,204,0,2389,10718,6249,0,160,0,1758,8167
22,8794,0,217,0,2665,11676,6745,0,167,0,1960,8872
23,9899,0,275,0,3121,13295,7640,0,216,0,2311,10167
24,10754,0,301,0,3474,14529,8267,0,233,0,2519,11019
25,12281,0,375,0,3955,16611,9397,0,296,0,2871,12564
26,13256,0,399,0,4339,17994,9893,0,307,0,3129,13329
27,14229,0,450,0,4698,19377,10631,0,365,0,3390,14386
28,15252,0,451,0,5219,20922,11375,0,338,0,3772,15485
29,17313,0,539,0,5872,23724,13117,0,432,0,4298,17847
30,17621,0,600,0,6184,24405,13432,0,468,0,4592,18492
31,18005,0,640,0,6232,24877,13709,0,500,0,4666,18875
32,18441,0,641,0,6859,25941,14049,0,513,0,5239,19801
33,19460,0,752,0,7069,27281,15073,0,600,0,5392,21065
34,19417,0,771,0,7227,27415,15035,0,611,0,5595,21241
35,18779,0,767,0,7239,26785,14311,0,616,0,5502,20429
36,19815,0,773,0,8132,28720,15217,0,634,0,6219,22070
37,20859,0,873,0,8638,30370,16017,0,715,0,6616,23348
38,20228,0,916,0,8943,30087,15520,0,760,0,6946,23226
39,19487,0,955,0,8934,29376,14960,0,769,0,6797,22526
40,19507,0,988,0,8948,29443,14998,0,799,0,6866,22663
41,19184,0,911,0,8803,28898,14771,0,732,0,6713,22216
42,18526,0,917,0,9095,28538,14225,0,748,0,6962,21935
43,17551,0,949,0,9227,27727,13552,0,784,0,7175,21511
44,17510,0,922,0,9404,27836,13524,0,787,0,7429,21740
45,16332,0,876,0,8756,25964,12656,0,717,0,6832,20205
46,13303,0,725,0,7763,21791,10401,0,602,0,6238,17241
47,7518,0,400,0,4135,12053,6026,0,346,0,3335,9707
48,9714,0,493,0,6238,16445,7540,0,430,0,5000,12970
49,12562,0,634,0,10104,23300,9913,0,541,0,8253,18707
50,12391,0,650,0,10598,23639,9881,0,566,0,8779,19226
51,10939,0,592,0,10294,21825,8743,0,513,0,8595,17851
52,10272,0,544,0,9227,20043,8102,0,462,0,7656,16220
53,7832,0,422,0,6982,15236,6215,0,373,0,5822,12410
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
