win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,14,0,0,0,1,15,14,0,0,0,1,15
2,14,0,0,0,3,17,14,0,0,0,3,17
3,16,0,0,0,3,19,16,0,0,0,3,19
4,17,0,1,0,4,22,17,0,1,0,4,22
5,18,0,1,0,6,25,18,0,1,0,6,25
6,18,0,2,0,2,22,18,0,2,0,2,22
7,22,0,1,0,1,24,22,0,1,0,1,24
8,21,0,1,0,2,24,21,0,1,0,2,24
9,23,0,1,0,2,26,23,0,1,0,2,26
10,23,0,1,0,6,30,23,0,1,0,6,30
11,55,0,2,0,10,67,55,0,2,0,10,67
12,57,0,1,0,6,64,57,0,1,0,6,64
13,69,0,3,0,16,88,69,0,3,0,16,88
14,96,0,2,0,22,120,96,0,2,0,22,120
15,108,0,2,0,27,137,108,0,2,0,27,137
16,192,0,3,0,39,234,192,0,3,0,38,233
17,241,0,3,0,54,298,240,0,3,0,54,297
18,377,0,7,0,76,460,377,0,7,0,76,460
19,487,0,7,0,109,603,484,0,7,0,109,600
20,595,0,19,0,121,735,588,0,19,0,119,726
21,901,0,29,0,226,1156,887,0,28,0,218,1133
22,1168,0,29,0,271,1468,1136,0,28,0,258,1422
23,1456,0,41,0,429,1926,1412,0,40,0,407,1859
24,1768,0,49,0,486,2303,1720,0,48,0,471,2239
25,2141,0,59,0,625,2825,2076,0,59,0,596,2731
26,2340,0,64,0,665,3069,2243,0,62,0,637,2942
27,2653,0,77,0,754,3484,2501,0,71,0,688,3260
28,3081,0,86,0,944,4111,2814,0,75,0,846,3735
29,3552,0,86,0,1134,4772,3220,0,80,0,997,4297
30,3582,0,112,0,1196,4890,3178,0,101,0,1028,4307
31,3562,0,123,0,1199,4884,3124,0,115,0,1020,4259
32,3443,0,109,0,1259,4811,3018,0,99,0,1046,4163
33,3458,0,124,0,1180,4762,3038,0,116,0,1008,4162
34,2817,0,111,0,1022,3950,2563,0,100,0,885,3548
35,2430,0,101,0,936,3467,2229,0,92,0,820,3141
36,2241,0,89,0,875,3205,2102,0,79,0,797,2978
37,2159,0,84,0,761,3004,2053,0,79,0,715,2847
38,1684,0,70,0,666,2420,1585,0,66,0,628,2279
39,1377,0,60,0,605,2042,1310,0,51,0,577,1938
40,1416,0,68,0,583,2067,1358,0,62,0,546,1966
41,1160,0,48,0,522,1730,1102,0,44,0,499,1645
42,1006,0,40,0,448,1494,967,0,36,0,434,1437
43,913,0,52,0,435,1400,876,0,48,0,420,1344
44,851,0,42,0,413,1306,822,0,38,0,396,1256
45,774,0,39,0,353,1166,751,0,36,0,341,1128
46,531,0,24,0,240,795,511,0,20,0,231,762
47,223,0,11,0,110,344,219,0,9,0,109,337
48,296,0,17,0,165,478,288,0,15,0,162,465
49,446,0,16,0,336,798,435,0,13,0,329,777
50,535,0,22,0,347,904,520,0,20,0,340,880
51,439,0,21,0,315,775,426,0,19,0,309,754
52,316,0,13,0,309,638,306,0,10,0,307,623
53,236,0,16,0,249,501,230,0,14,0,247,491
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
