win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,200,0,6,0,56,262,199,0,6,0,55,260
2,327,0,6,0,87,420,327,0,6,0,85,418
3,373,0,9,0,104,486,374,0,9,0,102,485
4,392,0,11,0,99,502,392,0,11,0,97,500
5,482,0,10,0,136,628,481,0,10,0,127,618
6,444,0,13,0,111,568,442,0,13,0,107,562
7,484,0,15,0,127,626,484,0,15,0,125,624
8,577,0,13,0,154,744,569,0,13,0,153,735
9,765,0,12,0,216,993,755,0,12,0,212,979
10,963,0,23,0,274,1260,946,0,23,0,267,1236
11,1378,0,33,0,441,1852,1344,0,32,0,428,1804
12,1750,0,39,0,528,2317,1696,0,38,0,511,2245
13,2396,0,52,0,633,3081,2297,0,50,0,604,2951
14,3405,0,62,0,914,4381,3226,0,60,0,846,4132
15,4100,0,88,0,1154,5342,3852,0,78,0,1086,5016
16,4992,0,94,0,1220,6306,4650,0,87,0,1106,5843
17,6803,0,122,0,1770,8695,6262,0,118,0,1577,7957
18,7397,0,152,0,1995,9544,6696,0,144,0,1745,8585
19,8941,0,198,0,2608,11747,7976,0,181,0,2273,10430
20,9834,0,207,0,2890,12931,8904,0,192,0,2543,11639
21,13311,0,303,0,4048,17662,11933,0,280,0,3466,15679
22,14739,0,339,0,4578,19656,13058,0,310,0,3862,17230
23,17089,0,467,0,5665,23221,15024,0,431,0,4732,20187
24,19201,0,520,0,6537,26258,16739,0,477,0,5399,22615
25,23196,0,638,0,7832,31666,20194,0,576,0,6352,27122
26,25235,0,744,0,8545,34524,21740,0,655,0,6874,29269
27,27433,0,890,0,9735,38058,23407,0,766,0,7687,31860
28,29845,0,951,0,10680,41476,25320,0,813,0,8356,34489
29,35453,0,1190,0,12952,49595,29749,0,1031,0,9924,40704
30,37698,0,1391,0,13989,53078,31300,0,1190,0,10681,43171
31,39572,0,1464,0,15016,56052,32743,0,1253,0,11334,45330
32,42877,0,1647,0,16810,61334,35107,0,1399,0,12570,49076
33,48674,0,1914,0,18822,69410,39534,0,1602,0,13956,55092
34,49866,0,2035,0,19912,71813,40019,0,1689,0,14483,56191
35,49991,0,2184,0,21028,73203,39691,0,1823,0,15082,56596
36,53570,0,2324,0,23632,79526,42676,0,1950,0,16925,61551
37,58078,0,2595,0,25202,85875,46981,0,2206,0,18609,67796
38,59910,0,2824,0,27125,89859,48050,0,2364,0,19652,70066
39,62180,0,3071,0,29836,95087,49167,0,2554,0,21134,72855
40,64830,0,3223,0,31956,100009,51311,0,2713,0,22892,76916
41,67561,0,3341,0,33830,104732,52867,0,2736,0,23786,79389
42,67438,0,3540,0,34946,105924,52510,0,2943,0,24388,79841
43,66422,0,3656,0,36471,106549,51757,0,2980,0,25298,80035
44,68542,0,3760,0,38489,110791,53183,0,3106,0,26691,82980
45,67112,0,3693,0,38310,109115,51299,0,2993,0,26053,80345
46,55886,0,3137,0,33392,92415,42117,0,2488,0,22473,67078
47,30903,0,1619,0,19243,51765,21648,0,1241,0,11952,34841
48,41722,0,2207,0,30074,74003,29417,0,1747,0,18971,50135
49,52542,0,2742,0,42063,97347,41236,0,2329,0,31555,75120
50,50303,0,2572,0,40629,93504,40798,0,2235,0,32087,75120
51,44728,0,2389,0,38840,85957,36167,0,2098,0,31324,69589
52,38696,0,2116,0,34324,75136,32027,0,1884,0,28370,62281
53,29193,0,1623,0,24486,55302,24260,0,1463,0,20460,46183
54,0,0,0,0,1,1,0,0,0,0,1,1
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
