win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,0,0,0,0,1,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,1,0,0,0,0,0,0
17,7,0,0,0,0,7,4,0,0,0,0,4
18,17,0,0,0,1,18,8,0,0,0,1,9
19,44,0,1,0,8,53,30,0,1,0,4,35
20,65,0,4,0,16,85,39,0,3,0,8,50
21,94,0,3,0,30,127,50,0,3,0,15,68
22,132,0,4,0,41,177,71,0,3,0,20,94
23,132,0,6,0,41,179,71,0,5,0,15,91
24,181,0,9,0,53,243,96,0,8,0,19,123
25,221,0,8,0,55,284,111,0,6,0,24,141
26,230,0,7,0,67,304,109,0,5,0,30,144
27,278,0,10,0,80,368,137,0,6,0,36,179
28,285,0,10,0,82,377,167,0,5,0,46,218
29,327,0,9,0,108,444,220,0,8,0,58,286
30,359,0,14,0,102,475,258,0,11,0,72,341
31,390,0,12,0,108,510,313,0,11,0,88,412
32,373,0,14,0,95,482,289,0,13,0,76,378
33,358,0,12,0,117,487,283,0,11,0,94,388
34,387,0,16,0,105,508,317,0,15,0,82,414
35,336,0,14,0,114,464,270,0,12,0,93,375
36,343,0,11,0,151,505,289,0,9,0,115,413
37,407,0,18,0,134,559,327,0,16,0,109,452
38,476,0,23,0,185,684,404,0,23,0,154,581
39,464,0,19,0,208,691,386,0,19,0,187,592
40,534,0,24,0,229,787,457,0,24,0,200,681
41,659,0,30,0,261,950,537,0,30,0,224,791
42,847,0,34,0,400,1281,678,0,31,0,302,1011
43,1204,0,37,0,665,1906,923,0,33,0,460,1416
44,1320,0,57,0,817,2194,1012,0,43,0,584,1639
45,1715,0,68,0,1086,2869,1281,0,54,0,715,2050
46,1607,0,72,0,1155,2834,1159,0,54,0,771,1984
47,978,0,40,0,678,1696,666,0,26,0,395,1087
48,1351,0,60,0,1315,2726,876,0,39,0,747,1662
49,1995,0,74,0,2055,4124,1476,0,53,0,1358,2887
50,2097,0,74,0,2195,4366,1598,0,59,0,1553,3210
51,1923,0,72,0,2173,4168,1500,0,53,0,1570,3123
52,1626,0,68,0,1781,3475,1249,0,46,0,1281,2576
53,1329,0,53,0,1465,2847,1032,0,39,0,1090,2161
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
