win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,0,0,0,0,2,2,0,0,0,0,2,2
2,1,0,0,0,1,2,0,0,0,0,1,1
3,2,0,0,0,0,2,0,0,0,0,0,0
4,4,0,0,0,0,4,3,0,0,0,0,3
5,4,0,0,0,0,4,4,0,0,0,0,4
6,5,0,0,0,0,5,4,0,0,0,0,4
7,5,0,0,0,1,6,3,0,0,0,0,3
8,4,0,0,0,2,6,2,0,0,0,1,3
9,9,0,0,0,2,11,7,0,0,0,1,8
10,9,0,1,0,5,15,9,0,1,0,5,15
11,16,0,1,0,7,24,14,0,1,0,7,22
12,7,0,1,0,5,13,6,0,1,0,5,12
13,19,0,1,0,6,26,18,0,1,0,4,23
14,37,0,1,0,12,50,30,0,1,0,9,40
15,55,0,1,0,21,77,44,0,1,0,20,65
16,68,0,2,0,23,93,55,0,2,0,17,74
17,145,0,3,0,26,174,124,0,3,0,21,148
18,184,0,2,0,40,226,165,0,2,0,34,201
19,253,0,5,0,50,308,215,0,5,0,37,257
20,362,0,4,0,48,414,311,0,4,0,37,352
21,454,0,8,0,90,552,378,0,7,0,73,458
22,576,0,9,0,120,705,460,0,7,0,95,562
23,696,0,14,0,142,852,586,0,11,0,113,710
24,807,0,11,0,161,979,647,0,9,0,116,772
25,902,0,10,0,194,1106,700,0,9,0,144,853
26,973,0,17,0,222,1212,763,0,12,0,155,930
27,1080,0,24,0,239,1343,831,0,19,0,163,1013
28,1121,0,22,0,266,1409,852,0,18,0,183,1053
29,1232,0,20,0,304,1556,937,0,13,0,207,1157
30,1215,0,31,0,281,1527,941,0,20,0,197,1158
31,1166,0,25,0,310,1501,854,0,20,0,205,1079
32,1195,0,21,0,285,1501,876,0,15,0,195,1086
33,1288,0,28,0,339,1655,963,0,20,0,215,1198
34,1220,0,25,0,306,1551,900,0,20,0,194,1114
35,1065,0,23,0,283,1371,781,0,18,0,187,986
36,996,0,28,0,273,1297,685,0,22,0,171,878
37,1062,0,26,0,284,1372,769,0,17,0,189,975
38,986,0,24,0,271,1281,692,0,17,0,178,887
39,953,0,25,0,251,1229,682,0,21,0,145,848
40,894,0,35,0,271,1200,639,0,23,0,167,829
41,902,0,32,0,295,1229,630,0,22,0,202,854
42,882,0,29,0,310,1221,598,0,19,0,217,834
43,781,0,31,0,348,1160,524,0,22,0,271,817
44,813,0,27,0,252,1092,561,0,18,0,173,752
45,723,0,24,0,233,980,504,0,17,0,155,676
46,586,0,19,0,183,788,409,0,13,0,126,548
47,328,0,3,0,137,468,236,0,1,0,92,329
48,389,0,11,0,186,586,278,0,8,0,122,408
49,519,0,12,0,284,815,353,0,10,0,192,555
50,472,0,13,0,272,757,344,0,10,0,188,542
51,418,0,12,0,248,678,299,0,12,0,179,490
52,376,0,7,0,227,610,279,0,6,0,174,459
53,279,0,4,0,183,466,198,0,3,0,132,333
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
