win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,240,0,6,0,141,387,210,0,6,0,131,347
2,322,0,9,0,156,487,283,0,8,0,140,431
3,398,0,10,0,177,585,355,0,9,0,165,529
4,415,0,8,0,186,609,365,0,8,0,170,543
5,561,0,16,0,246,823,499,0,16,0,222,737
6,575,0,14,0,240,829,492,0,14,0,200,706
7,684,0,19,0,244,947,578,0,17,0,198,793
8,801,0,15,0,301,1117,664,0,15,0,249,928
9,1012,0,20,0,346,1378,836,0,20,0,274,1130
10,1139,0,32,0,332,1503,924,0,28,0,272,1224
11,1375,0,42,0,392,1809,1136,0,37,0,320,1493
12,1609,0,44,0,477,2130,1309,0,37,0,397,1743
13,1997,0,44,0,500,2541,1611,0,38,0,398,2047
14,2355,0,56,0,583,2994,1874,0,44,0,450,2368
15,2882,0,72,0,649,3603,2310,0,58,0,509,2877
16,3253,0,75,0,750,4078,2587,0,60,0,557,3204
17,4444,0,97,0,1049,5590,3500,0,80,0,764,4344
18,4620,0,117,0,1116,5853,3483,0,91,0,808,4382
19,5336,0,152,0,1394,6882,4131,0,124,0,992,5247
20,5508,0,130,0,1397,7035,4208,0,106,0,1012,5326
21,7138,0,192,0,1869,9199,5450,0,150,0,1345,6945
22,7812,0,237,0,2074,10123,5986,0,190,0,1485,7661
23,8824,0,263,0,2463,11550,6616,0,210,0,1765,8591
24,9408,0,282,0,2738,12428,7072,0,220,0,1910,9202
25,10794,0,371,0,3165,14330,8040,0,282,0,2230,10552
26,11350,0,398,0,3440,15188,8342,0,287,0,2424,11053
27,12135,0,431,0,3815,16381,8987,0,323,0,2657,11967
28,12946,0,470,0,4064,17480,9500,0,354,0,2798,12652
29,14665,0,545,0,4737,19947,10772,0,406,0,3278,14456
30,15547,0,571,0,5112,21230,11296,0,432,0,3507,15235
31,15687,0,636,0,5293,21616,11280,0,493,0,3664,15437
32,16562,0,667,0,5624,22853,11927,0,499,0,3869,16295
33,18207,0,705,0,6476,25388,13062,0,525,0,4475,18062
34,18555,0,786,0,6741,26082,13258,0,598,0,4609,18465
35,19147,0,844,0,7061,27052,13673,0,630,0,4811,19114
36,20238,0,941,0,7699,28878,14342,0,704,0,5279,20325
37,22157,0,1022,0,8619,31798,15877,0,768,0,5957,22602
38,23006,0,1100,0,9740,33846,16180,0,804,0,6542,23526
39,23706,0,1207,0,10465,35378,16525,0,884,0,7237,24646
40,25578,0,1327,0,11435,38340,17842,0,983,0,7911,26736
41,27764,0,1430,0,12745,41939,19379,0,1024,0,8678,29081
42,28295,0,1522,0,13692,43509,19532,0,1125,0,9203,29860
43,28660,0,1636,0,14499,44795,19672,0,1200,0,9715,30587
44,30379,0,1721,0,16555,48655,20822,0,1235,0,11054,33111
45,30287,0,1759,0,16815,48861,20681,0,1265,0,11076,33022
46,26344,0,1525,0,15192,43061,17595,0,1092,0,9845,28532
47,14694,0,788,0,8259,23741,10349,0,589,0,5629,16567
48,20894,0,1149,0,14229,36272,13753,0,812,0,8919,23484
49,26467,0,1455,0,21388,49310,18132,0,1059,0,14596,33787
50,25822,0,1393,0,21803,49018,18229,0,1052,0,15671,34952
51,22798,0,1253,0,20579,44630,16401,0,967,0,15231,32599
52,20783,0,1180,0,19075,41038,14924,0,913,0,14118,29955
53,16099,0,893,0,14459,31451,11474,0,691,0,10650,22815
54,1,0,0,0,1,2,1,0,0,0,1,2
55,0,0,0,0,2,2,0,0,0,0,1,1
56,1,0,0,0,0,1,1,0,0,0,0,1
