win,female_commit,male_commit,all_commit
1,125,3660,13341
2,116,4465,15066
3,90,3645,14100
4,96,4358,15770
5,236,5277,19142
6,120,6105,19992
7,286,6570,19442
8,261,5825,19434
9,472,7637,23866
10,627,9355,23965
11,874,10239,30691
12,490,9411,30381
13,803,13039,36047
14,1086,15489,42846
15,1675,21877,47830
16,1364,23565,52476
17,1860,31504,68630
18,2067,33995,70156
19,2412,47250,87655
20,1811,44353,78518
21,2775,66256,108358
22,3363,75260,126374
23,5941,99069,164395
24,7356,121984,202278
25,11733,151434,255991
26,13003,166365,302284
27,16734,192243,358352
28,19450,213858,464160
29,33859,301410,612363
30,39885,358489,717623
31,44372,328673,682757
32,50954,378393,823645
33,51346,407858,1006271
34,42812,334678,704905
35,35031,301974,628630
36,42091,314473,696187
37,50507,362353,776594
38,40809,317255,694998
39,39013,290152,748837
40,62149,316397,886267
41,65919,385064,970924
42,64878,468353,951193
43,65599,513849,1017086
44,65043,457141,1053202
45,57980,426339,985827
46,37169,214362,617181
