win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,1783,78,2198,4059,1009,28,1187,2224
2,1967,83,2242,4292,1108,28,1261,2397
3,2055,86,2471,4612,1180,30,1352,2562
4,2242,85,2587,4914,1295,23,1472,2790
5,2545,104,2900,5549,1413,37,1599,3049
6,2767,127,3172,6066,1508,47,1694,3249
7,3044,131,3422,6597,1678,38,1854,3570
8,3395,158,3520,7073,1919,52,1904,3875
9,3699,165,3808,7672,2061,55,2010,4126
10,3942,166,3983,8091,2301,57,2114,4472
11,4344,185,4199,8728,2462,72,2256,4790
12,4785,182,4273,9240,2799,78,2319,5196
13,5557,203,4949,10709,3209,90,2572,5871
14,6071,222,5449,11742,3564,96,2837,6497
15,6331,236,5429,11996,3765,109,2891,6765
16,6805,233,5750,12788,4317,109,3099,7525
17,8103,282,7119,15504,5099,145,3816,9060
18,8525,286,7338,16149,5468,157,4120,9745
19,9613,332,8620,18565,6194,167,4596,10957
20,9346,341,8405,18092,6180,191,4583,10954
21,11169,385,9911,21465,7350,212,5421,12983
22,12049,425,10637,23111,7931,237,5900,14068
23,12841,482,10926,24249,8344,262,6206,14812
24,14085,551,12840,27476,9284,290,7173,16747
25,15448,593,13747,29788,10035,352,7812,18199
26,16283,662,14925,31870,10612,375,8356,19343
27,16747,698,14545,31990,10703,374,8439,19516
28,18278,767,15377,34422,11620,432,9209,21261
29,19387,819,16101,36307,12537,473,9748,22758
30,20460,930,16880,38270,12993,563,10307,23863
31,20300,932,16234,37466,12915,545,9920,23380
32,21986,1080,17925,40991,13799,635,10858,25292
33,22500,1045,18214,41759,13817,585,10620,25022
34,21603,983,17315,39901,13292,561,9965,23818
35,20577,910,16285,37772,12562,505,9122,22189
36,21060,978,17554,39592,12688,531,9643,22862
37,22261,1045,18811,42117,13224,569,10081,23874
38,21755,1118,18189,41062,12646,538,9543,22727
39,21325,1054,18010,40389,12195,509,9190,21894
40,22128,1124,19491,42743,12400,516,9769,22685
41,22642,1147,20041,43830,12838,558,10011,23407
42,22176,1170,20039,43385,12514,553,10103,23170
43,21377,1168,20040,42585,12175,566,10240,22981
44,22985,1337,23643,47965,12607,583,11855,25045
45,22083,1214,22727,46024,12310,553,12067,24930
46,19380,1125,20020,40525,11122,563,10937,22622
