win,female_commit,male_commit,all_commit
1,1607,97848,227914
2,1227,99465,224004
3,1348,102907,230229
4,1008,104705,237970
5,1356,120647,266929
6,1405,123358,268406
7,1786,130327,258933
8,1947,131124,268471
9,1844,141749,296963
10,1964,138393,284240
11,2733,144689,285724
12,2953,146195,281688
13,3368,169837,319617
14,3501,165446,323038
15,4125,183360,340734
16,3380,200391,362158
17,4652,253765,438827
18,5946,293880,482777
19,7272,355674,578466
20,9683,293253,483178
21,10458,378454,629352
22,11084,411685,681374
23,10790,441943,718203
24,12422,473944,778237
25,16398,510458,871407
26,14301,511713,885097
27,12763,506555,848638
28,17392,536229,899711
29,14768,581206,965306
30,16112,603339,991599
31,15352,572102,922463
32,16101,612635,1007849
33,16358,660361,1078704
34,15505,616978,973764
35,14815,551225,883081
36,13579,590820,930848
37,16190,629085,986893
38,14993,598673,925584
39,15942,575604,904928
40,14655,602802,928237
41,16034,608176,952246
42,16606,584840,935139
43,13745,672865,1006432
44,15488,550329,934355
45,13821,524818,892140
46,11656,402567,713112
